id,x0,t0_deviation,dtdx_deviation,type,systematic_error,random_error,version
bb3,0,3.20,8.42,broadband,0.100,0.021,2014-04-28
bb4,0,-2.97,8.58,broadband,0.100,0.021,2014-04-28
bb5,0,10.58,9.10,broadband,0.100,0.021,2014-04-28
bb6,0,8.51,9.02,broadband,0.100,0.021,2014-04-28
bb7,0,2.84,12.23,broadband,0.100,0.021,2014-04-28
bb8,0,11.04,12.70,broadband,0.100,0.021,2014-04-28
bb10,0,10.52,13.75,broadband,0.100,0.021,2014-04-28
bb11,0,5.34,12.87,broadband,0.100,0.021,2014-04-28
bb12,0,4.55,13.57,broadband,0.100,0.021,2014-04-28
bb13,0,21.57,12.42,broadband,0.100,0.021,2014-04-28
bb14,0,5.19,8.24,broadband,0.100,0.021,2014-04-28
bb15,0,10.6,12.11,broadband,0.100,0.021,2014-04-28
bb17,0,7.32,3.44,broadband,0.100,0.021,2014-04-28
bb18,0,-3.87,13.55,broadband,0.100,0.021,2014-04-28
bb19,0,4.54,8.87,broadband,0.100,0.021,2014-04-28
bb20,0,2.11,10.24,broadband,0.100,0.021,2014-04-28
bb21,0,1.22,9.98,broadband,0.100,0.021,2014-04-28
bb22,0,9.59,7.96,broadband,0.100,0.021,2014-04-28
bb25,0,6.32,19.38,broadband,0.100,0.021,2014-04-28
bb26,0,-3.88,9.89,broadband,0.100,0.021,2014-04-28
bb27,0,4.51,9.56,broadband,0.100,0.021,2014-04-28
bb29,0,-6.95,9.09,broadband,0.100,0.021,2014-04-28
bb31,0,-52.11,12.35,broadband,0.100,0.021,2014-04-28
bb32,0,-55.69,9.49,broadband,0.100,0.021,2014-04-28
bb33,0,-56.70,13.79,broadband,0.100,0.021,2014-04-28
bb34,0,-53.71,13.30,broadband,0.100,0.021,2014-04-28
bb36,0,-42.49,13.18,broadband,0.100,0.021,2014-04-28
bb37,0,-48.35,12.63,broadband,0.100,0.021,2014-04-28
bb39,0,-52.25,9.29,broadband,0.100,0.021,2014-04-28
bb40,0,-50.61,13.70,broadband,0.100,0.021,2014-04-28
bb41,0,-51.69,14.61,broadband,0.100,0.021,2014-04-28
bb42,0,-52.00,15.04,broadband,0.100,0.021,2014-04-28
bb112,0,-75.69,15.46,broadband,0.100,0.021,2014-04-28
bb113,0,-68.04,11.29,broadband,0.100,0.021,2014-04-28
bb114,0,-76.10,11.74,broadband,0.100,0.021,2014-04-28
bb115,0,-71.00,11.16,broadband,0.100,0.021,2014-04-28
bb116,0,-68.08,12.84,broadband,0.100,0.021,2014-04-28
bb117,0,-64.34,6.50,broadband,0.100,0.021,2014-04-28
bb118,0,-72.75,9.38,broadband,0.100,0.021,2014-04-28
bb119,0,-69.81,9.89,broadband,0.100,0.021,2014-04-28
bb122,0,-72.24,10.18,broadband,0.100,0.021,2014-04-28
bb123,0,-73.12,11.25,broadband,0.100,0.021,2014-04-28
bb128,0,-71.53,15.01,broadband,0.100,0.021,2014-04-28
bb129,0,-68.59,11.11,broadband,0.100,0.021,2014-04-28
nb1,0,445.123,223.984,NB,0.050,0.040,2013-10-16
nb4,0,445.123,223.984,NB,0.050,0.040,2013-06-01
nb7,0,442.345,221.846,NB,0.050,0.040,2013-11-27
nb15,0,443.697,219.952,NB,0.050,0.040,2013-11-27
in01,0,68.8,4.5,indirect drive,0.050,0.021,2003-01-23
in02,0,52.8,-11.6,indirect drive,0.050,0.021,2003-01-23
in03,0,65.4,2.1,indirect drive,0.050,0.021,2003-01-23
in04,0,93.2,-10.0,indirect drive,0.050,0.021,2003-01-23
in05,0,57.2,-4.7,indirect drive,0.050,0.021,2003-01-23
in06,0,73.5,4.8,indirect drive,0.050,0.021,2003-01-23
in07,0,50.4,-6.6,indirect drive,0.050,0.021,2003-01-23
in08,0,57.0,-20.2,indirect drive,0.050,0.021,2003-01-23
in09,0,125.0,37.8,indirect drive,0.050,0.021,2003-01-23
in10,0,58.0,-6.4,indirect drive,0.050,0.021,2003-01-23
in11,0,44.6,-1.3,indirect drive,0.050,0.021,2003-01-23
in12,0,74.6,2.6,indirect drive,0.050,0.021,2003-01-23
13425140,0.1490, 63.500, -77.200,flycut,0.075,0.021,2011-03-16
13425141,0.2770, 82.110, -81.301,flycut,0.075,0.021,2011-03-16
13425142,0.3140,154.200,-104.150,flycut,0.075,0.021,2011-03-16
13425144,0.0949, 22.500, -91.000,flycut,0.075,0.021,2011-03-16
13425145,0.3075, 99.763, -75.64999,flycut,0.075,0.021,2011-03-16
13425146,0.1460, 40.990, -82.370,flycut,0.075,0.021,2011-03-16
13425147,0.1740, 61.600, -97.650,flycut,0.075,0.021,2011-03-16
13425148,0.3840,138.876, -61.153,flycut,0.075,0.021,2011-03-16
13425149,0.2600,133.200, -52.150,flycut,0.075,0.021,2011-03-16
13425151,0.1340, 43.750, -77.750,flycut,0.075,0.021,2011-03-16
13425152,0.0970, 11.200, -87.850,flycut,0.075,0.021,2011-03-16
13425153,0.2820,126.500, -83.000,flycut,0.075,0.021,2011-03-16
13425154,0.3500,150.950, -55.100,flycut,0.075,0.021,2011-03-16
13425155,0.1298, 38.500, -84.000,flycut,0.075,0.021,2011-03-16
13425156,0.2930,133.700, -93.500,flycut,0.075,0.021,2011-03-16
13425157,0.0633,  1.400, -94.500,flycut,0.075,0.021,2011-03-16
13425158,0.0862,  9.750, -89.300,flycut,0.075,0.021,2011-03-16
13425159,0.3670,186.700, -66.700,flycut,0.075,0.021,2011-03-16
13425150,0.3990,162.950, -68.0106,flycut,0.075,0.021,2011-01-13
g001,0,54.227,-219.799,Gilbert,0.050,0.030,2017-06-15
g002,0,89.050,-204.401,Gilbert,0.050,0.030,2016-07-17
g008,0,73.890,-211.330,Gilbert,0.050,0.030,2016-07-17
g009,0,80.263,-206.122,Gilbert,0.050,0.030,2017-01-24
g011,0,80.697,-209.629,Gilbert,0.050,0.030,2016-07-17
g012,0,58.373,-207.933,Gilbert,0.050,0.030,2016-10-12
g013,0,54.367,-209.159,Gilbert,0.050,0.030,2016-10-05
g014,0,69.376,-209.1475,Gilbert,0.050,0.030,2016-07-17
g016,0,52.776,-206.813,Gilbert,0.050,0.030,2017-01-24
g017,0,66.249,-209.991,Gilbert,0.050,0.030,2017-01-24
g018,0,75.403,-203.504,Gilbert,0.050,0.030,2017-01-24
g020,0,49.821,-207.261,Gilbert,0.050,0.030,2017-01-24
g021,0,50.282,-214.648,Gilbert,0.050,0.030,2016-10-12
g022,0,84.014,-195.776,Gilbert,0.050,0.030,2016-07-17
g023,0,57.010,-211.002,Gilbert,0.050,0.030,2016-10-12
g024,0,60.289,-205.778,Gilbert,0.050,0.030,2016-10-12
g025,0,73.360,-202.548,Gilbert,0.050,0.030,2017-06-15
g029,0,66.302,-209.2735,Gilbert,0.050,0.030,2016-07-17
g030,0,61.881,-212.776,Gilbert,0.050,0.030,2016-07-17
g031,0,74.511,-202.606,Gilbert,0.050,0.030,2016-10-12
g033,0,63.120,-207.981,Gilbert,0.050,0.030,2016-10-12
g034,0,80.815,-215.431,Gilbert,0.050,0.030,2016-07-17
g035,0,71.674,-212.831,Gilbert,0.050,0.030,2017-01-24
g036,0,60.945,-212.652,Gilbert,0.050,0.030,2016-10-12
g037,0,55.940,-212.462,Gilbert,0.050,0.030,2016-07-17
g038,0,67.392,-208.396,Gilbert,0.050,0.030,2017-01-24
g039,0,59.8385,-213.397,Gilbert,0.050,0.030,2016-07-17
g040,0,55.940,-212.462,Gilbert,0.090,0.030,2016-10-14
g042,0,85.102,-207.532,Gilbert,0.050,0.030,2016-10-12
g044,0,63.451,-208.540,Gilbert,0.050,0.030,2016-07-17
g047,0,62.539,-199.819,Gilbert,0.050,0.030,2017-06-15
g049,0,60.111,-201.178,Gilbert,0.050,0.030,2017-06-15
g051,0,71.245,-201.581,Gilbert,0.050,0.030,2016-10-12
g057,0,72.880,-198.727,Gilbert,0.050,0.030,2017-06-15
g058,0,70.988,-212.400,Gilbert,0.050,0.030,2016-07-17
g060,0,61.909,-203.487,Gilbert,0.050,0.030,2016-10-12
g061,0,55.287,-209.104,Gilbert,0.050,0.030,2016-10-12
g062,0,67.833,-212.303,Gilbert,0.050,0.030,2016-07-17
g063,0,58.310,-203.711,Gilbert,0.050,0.030,2017-01-24
g066,0,60.815,-209.296,Gilbert,0.050,0.030,2016-10-12
g067,0,52.496,-209.378,Gilbert,0.050,0.030,2016-10-12
g068,0,51.211,-212.000,Gilbert,0.090,0.030,2016-10-14
g069,0,69.322,-209.499,Gilbert,0.050,0.030,2017-01-24
g070,0,58.674,-205.005,Gilbert,0.050,0.030,2017-01-24
g071,0,60.021,-207.550,Gilbert,0.050,0.030,2016-10-12
g072,0,63.218,-208.994,Gilbert,0.050,0.030,2016-10-12
g073,0,66.298,-207.595,Gilbert,0.050,0.030,2016-10-12
g074,0,67.166,-207.388,Gilbert,0.050,0.030,2016-10-12
g075,0,65.113,-207.229,Gilbert,0.050,0.030,2017-01-24
g076,0,65.779,-208.365,Gilbert,0.050,0.030,2016-07-17
g077,0,65.210,-210.491,Gilbert,0.050,0.030,2017-01-24
g078,0,67.008,-207.831,Gilbert,0.050,0.030,2016-10-05
g079,0,60.326,-202.115,Gilbert,0.050,0.030,2016-07-17
g080,0,61.320,-207.984,Gilbert,0.050,0.030,2016-10-05
g081,0,69.148,-210.073,Gilbert,0.050,0.030,2016-10-12
g082,0,57.820,-208.089,Gilbert,0.050,0.030,2016-10-05
g083,0,68.733,-209.977,Gilbert,0.050,0.030,2016-10-05
g084,0,63.065,-205.737,Gilbert,0.050,0.030,2016-10-12
g085,0,64.526,-203.789,Gilbert,0.050,0.030,2017-01-24
g086,0,55.607,-208.322,Gilbert,0.090,0.030,2016-10-14
g088,0,60.352,-208.827,Gilbert,0.050,0.030,2016-10-05
g089,0,69.623,-205.686,Gilbert,0.050,0.030,2016-10-12
g091,0,61.563,-205.759,Gilbert,0.050,0.030,2017-01-24
g093,0,55.541,-207.362,Gilbert,0.050,0.030,2017-01-24
g094,0,45.897,-212.223,Gilbert,0.050,0.030,2017-01-24
g095,0,56.805,-208.153,Gilbert,0.050,0.030,2017-01-24
g096,0,50.415,-211.862,Gilbert,0.050,0.030,2017-01-24
g097,0,61.226,-209.280,Gilbert,0.050,0.030,2017-01-24
g099,0,47.072,-211.915,Gilbert,0.050,0.030,2017-01-24
